CropSurveyDate,Latitude,Longitude
2018-09-30,13.769433333333332,77.26087166666666
2018-09-30,13.38245955761522,77.02266728505492
2018-09-30,13.381573841907084,77.02225053682923
2018-09-30,13.381508463062346,77.02379113063216
2018-09-30,13.719972898252308,76.80995704606175
2018-09-30,13.64893253,76.76332752
2018-09-30,13.64949057,76.76347837
2018-09-30,13.719871435314417,76.80623615160584
2018-09-29,13.55647925,76.92273089
2018-09-29,13.55648819,76.92271879
2018-09-29,13.55649496,76.92272126
2018-09-29,13.69115968,76.75243023
2018-09-29,13.69116211,76.75243219
2018-09-29,13.69116386,76.75243255
2018-09-29,13.55767892,76.92069947
2018-09-29,13.55767904,76.92069947
2018-09-29,13.55859315,76.91891076
2018-09-30,13.64995807,76.76332797
2018-09-30,13.64153219,76.76424267
2018-09-29,13.594349734956875,76.75775217398629
2018-09-30,13.57718895,76.90613564
2018-09-30,13.57761403,76.90663521
2018-09-30,13.57761503,76.90663595
2018-09-30,13.65049367,76.76287976
2018-09-30,13.6522266,76.7578028
2018-09-30,13.65470655,76.77452528
2018-09-30,13.58311739,76.91164042
2018-09-30,13.58379449,76.91308908
2018-09-30,13.56473437,76.91758397
2018-09-30,13.61550928,76.89793762
2018-09-30,13.61550825,76.89795115
2018-09-30,13.61551414,76.89794587
2018-09-30,13.69234875,76.75898295
2018-09-30,13.62913214,76.89556488
2018-09-30,13.694077899919325,76.84584359287008
2018-09-30,13.65282717,76.75788112
2018-09-30,13.65393707,76.75777757
2018-09-30,13.6917203,76.75508936
2018-09-30,13.64989664,76.76331605
2018-09-30,13.695707656558357,76.84729643158366
2018-09-29,13.64680855,76.88882227
2018-09-30,13.6153544,76.9009239
2018-09-30,13.61536398,76.90093475
2018-09-30,13.5625464,76.91900509
2018-09-30,13.72382657,76.79069968
2018-09-30,13.72376365,76.79065367
2018-09-30,13.72376298,76.79065406
2018-09-30,13.635314999999999,76.74417333333334
2018-09-30,13.61429919,76.90017752
2018-09-30,13.61430348,76.90019254
2018-09-30,13.61432218,76.90017215
2018-09-29,13.5578076,76.9209772
2018-09-30,13.72023432,76.78913806
2018-09-30,13.72023184,76.78914151
2018-09-30,13.72023425,76.78913983
2018-09-30,13.72447073,76.78940333
2018-09-30,13.72441057,76.78933843
2018-09-30,13.72440776,76.78937742
2018-09-29,13.55892439,76.91910903
2018-09-29,13.55892775,76.91910681
2018-09-30,13.64946879,76.76345768
2018-09-30,13.64957597,76.76333523
2018-09-29,13.58824212,76.91395336
2018-09-29,13.65003092,76.89009661
2018-09-30,13.739417572505772,76.81462115608156
2018-09-30,13.738081622868776,76.81484989821911
2018-09-30,13.635256666666665,76.74409999999999
2018-09-30,13.57836569,76.91035433
2018-09-29,13.56038604,76.92028234
2018-09-30,13.72066151,76.7891177
2018-09-30,13.72066158,76.78911773
2018-09-30,13.72066151,76.78911773
2018-09-30,13.65062751,76.76284974
2018-09-30,13.65004415,76.77353722
2018-09-29,13.55762591,76.92090112
2018-09-29,13.55766937,76.92097344
2018-09-29,13.55766759,76.92097261
2018-09-30,13.64946568,76.763453
2018-09-30,13.72013322,76.7891427
2018-09-30,13.7201465,76.78913277
2018-09-30,13.72014601,76.78913327
2018-09-30,13.56356792,76.91697079
2018-09-30,13.58271924,76.91827834
2018-09-30,13.58273743,76.91828142
2018-09-30,13.7201423,76.78913837
2018-09-30,13.72014237,76.78913847
